"","time","record_id","date","lat","long"
"1",06:00:00,"1-20",2025-07-22,-6.184352,106.855604
"2",06:15:00,"1-20",2025-07-22,-6.181793,106.859929
"3",06:30:00,"1-20",2025-07-22,-6.181796,106.860382
"4",07:45:00,"1-20",2025-07-22,-6.175943,106.865895
"5",08:30:00,"1-20",2025-07-22,-6.175943,106.865895
"6",08:45:00,"1-20",2025-07-22,-6.17596305068964,106.865878230382
"7",09:00:00,"1-20",2025-07-21,-6.175943,106.865895
"8",09:15:00,"1-20",2025-07-21,-6.181462,106.860516
"9",09:30:00,"1-20",2025-07-21,-6.181907,106.860453
"10",09:45:00,"1-20",2025-07-21,-6.1782235292416,106.863202388718
"11",12:00:00,"1-20",2025-07-21,-6.17597061512398,106.865871903768
"12",12:15:00,"1-20",2025-07-21,-6.180046,106.859729
"13",14:00:00,"1-20",2025-07-21,-6.18205,106.858089
"14",14:30:00,"1-20",2025-07-21,-6.182086,106.858107
"15",14:45:00,"1-20",2025-07-21,-6.181072,106.857618
"16",15:00:00,"1-20",2025-07-21,-6.181545,106.857769
"17",16:00:00,"1-20",2025-07-21,-6.182038,106.858027
"18",19:45:00,"1-20",2025-07-21,-6.17755722065494,106.861783008719
"19",21:30:00,"1-20",2025-07-21,-6.18205,106.858142
"20",06:15:00,"1-13",2025-07-23,-6.182912,106.861769
"21",06:30:00,"1-13",2025-07-23,-6.181183,106.861156
"22",07:00:00,"1-13",2025-07-23,-6.181474,106.8604
"23",07:15:00,"1-13",2025-07-23,-6.181558,106.860516
"24",09:00:00,"1-13",2025-07-22,-6.181512,106.860284
"25",09:15:00,"1-13",2025-07-22,-6.181577,106.86032
"26",09:45:00,"1-13",2025-07-22,-6.181579,106.860338
"27",10:45:00,"1-13",2025-07-22,-6.18148,106.86048
"28",11:00:00,"1-13",2025-07-22,-6.181902,106.860453
"29",12:15:00,"1-13",2025-07-22,-6.175943,106.865895
"30",12:30:00,"1-13",2025-07-22,-6.18304,106.861227
"31",13:30:00,"1-13",2025-07-22,-6.182811,106.862027
"32",13:45:00,"1-13",2025-07-22,-6.181645,106.862391
"33",16:30:00,"1-13",2025-07-22,-6.18027782471293,106.861708326139
"34",16:45:00,"1-13",2025-07-22,-6.182861,106.861244
"35",19:15:00,"1-13",2025-07-22,-6.19133732286554,106.860368824287
"36",19:30:00,"1-13",2025-07-22,-6.182861,106.861244
"37",05:15:00,"1-1",2025-07-24,-6.18560086895473,106.853105728987
"38",05:30:00,"1-1",2025-07-24,-6.190432,106.854622
"39",06:00:00,"1-1",2025-07-24,-6.190084,106.854916
"40",06:15:00,"1-1",2025-07-24,-6.181457,106.860124
"41",06:45:00,"1-1",2025-07-24,-6.181313,106.860453
"42",08:15:00,"1-1",2025-07-24,-6.181621,106.860196
"43",08:30:00,"1-1",2025-07-24,-6.181558,106.86032
"44",08:45:00,"1-1",2025-07-24,-6.181553,106.860436
"45",09:15:00,"1-1",2025-07-23,-6.175943,106.865895
"46",09:30:00,"1-1",2025-07-23,-6.175943,106.865894999999
"47",10:00:00,"1-1",2025-07-23,-6.175943,106.865894999999
"48",10:15:00,"1-1",2025-07-23,-6.175943,106.865895
"49",10:45:00,"1-1",2025-07-23,-6.175943,106.865895
"50",11:00:00,"1-1",2025-07-23,-6.175943,106.865895
"51",11:15:00,"1-1",2025-07-23,-6.182187,106.860027
"52",11:30:00,"1-1",2025-07-23,-6.181414,106.860498
"53",12:00:00,"1-1",2025-07-23,-6.181926,106.859991
"54",12:15:00,"1-1",2025-07-23,-6.183939,106.859084
"55",12:30:00,"1-1",2025-07-23,-6.190367,106.854693
"56",12:45:00,"1-1",2025-07-23,-6.190333,106.854693
"57",13:00:00,"1-1",2025-07-23,-6.190298,106.854738
"58",13:15:00,"1-1",2025-07-23,-6.190213,106.854604
"59",13:45:00,"1-1",2025-07-23,-6.190397,106.854649
"60",14:45:00,"1-1",2025-07-23,-6.190419,106.854622
"61",15:45:00,"1-1",2025-07-23,-6.190398,106.854693
"62",16:00:00,"1-1",2025-07-23,-6.190244,106.854578
"63",16:15:00,"1-1",2025-07-23,-6.190353,106.85464
"64",16:30:00,"1-1",2025-07-23,-6.190434,106.85464
"65",17:00:00,"1-1",2025-07-23,-6.190379,106.85464
"66",17:45:00,"1-1",2025-07-23,-6.190445,106.854667
"67",18:00:00,"1-1",2025-07-23,-6.190343,106.854693
"68",18:15:00,"1-1",2025-07-23,-6.190359,106.854649
"69",18:45:00,"1-1",2025-07-23,-6.190401,106.854693
"70",19:00:00,"1-1",2025-07-23,-6.193092,106.854667
